team,role,sector,budget,trust,score,responsibility
Acadia,Carilion Clinic Privacy Office,Healthcare Privacy,$155K,6,0,"Breach notification and what a patient is owed: who was in the file that surfaced, what they are told, and when — before a stranger tells them first"
Banff,Regional News Consortium,Media,$50K,6,0,"The region's newsroom: what gets published, what gets held, and whether a correction ever catches the story it corrects"
Denali,VA Attorney General Consumer Protection,State Legal,$80K,6,0,"Identity theft and fraud in the wake of a breach: the credit freezes, the scam wave, and the enforcement letter nobody wants to be first to send"
Everglades,SW Virginia School Division Communications,Education,$65K,6,0,"Fifteen thousand families with children in the affected clinics' catchment, and a deepfake about a school closure already on their phones"
Glacier,Governor's SW Virginia Liaison,State Executive,$55K,6,0,"Speak for the region, own what it said before, and hold the only budget that can underwrite another team's action"
Katmai,CISA Mis- and Disinformation Team,Federal Cyber,$105K,6,0,"What is authentic and what is synthetic, said in a form a county can act on — and the limit of what a federal agency may say about a citizen's speech"
Olympic,Appalachian Faith & Community Network,Community/Faith,$65K,6,0,"The channel that still works when nobody believes the official one: congregations, volunteer fire departments, the people who knock on doors"
Redwood,Virginia Tech University Relations,Academic,$80K,6,0,"The university is being blamed for the attack by name; its researchers are being doxxed, and its own account is the one nobody will believe"
Shenandoah,SW Virginia Sheriff's Public Information,Law Enforcement,$60K,6,0,"What law enforcement says to a frightened public, and what it does about a threat made against a named researcher"
Teton,VDH Risk Communication,Public Health,$75K,6,0,Keep people coming to care they still need while a rumor says the clinics leak: the health message that has to survive being disbelieved
Yellowstone,County Broadband & Library Network,Digital Access,$100K,6,0,"The public terminals and the only broadband in three hollows — where people without a phone read the news, and where a scam page catches them"
Zion,Platform Trust and Safety Liaison,Platform,$45K,6,0,"The company's regional contact: what gets labelled, what gets taken down, how long it takes, and what the company will not do"
