team,role,sector,budget,trust,score
Acadia,Carilion Clinic System,Healthcare,$17.95M,11,105
Arches,WDBJ7 News,Media,$15M,10,70
Banff,Shentel Communications,Telecommunications,$7.2M,10,70
Bryce,VA DEQ SW Regional Office,Environmental,$39.8M,7,105
Denali,Governor's SW Virginia Liaison,State Executive,$6.9M,12,220
Glacier,Virginia Tech Crisis Response,Academic/Research,$48.65M,11,70
Jasper,AEP Appalachian Power,Energy/Utilities,$9.5M,11,95
Olympic,SW Virginia Sheriff's Coalition,Law Enforcement,$14.625M,7,150
Redwood,SW Virginia EMA,Emergency Mgmt,$24.5M,14,95
Sequoia,Montgomery County Government,Local Government,$2.5M,11,150
Shenandoah,United Way SW Virginia,Humanitarian NGO,$14.55M,10,150
Yellowstone,Food City / Regional Supply Chain,Business/Supply,$11.025M,10,130
Yoho,VDOT SW Region,Transportation,$7.3M,9,35
Yosemite,CISA Regional Coordinator,Federal Cyber,$5.5M,10,105
Zion,Appalachian Faith & Community Network,Community/Faith,$1.56M,15,70
