sim_time,team,type,message
0:11,Shenandoah,update,"A10 was charged at the full trust-6 modifier with no split claimed, consistent with the stated $5K remaining budget."
0:11,Redwood,update,"A Researcher Is Named, Doxxed And Threatened — A protective response for the named researcher has been initiated and the accusation itself has not been repeated in any public statement; no public statement…"
0:11,Shenandoah,update,"A Researcher Is Named, Doxxed And Threatened — A protective response for the named researcher has been initiated and the accusation itself has not been repeated in any public statement; no public statement…"
0:11,Zion,update,"A Researcher Is Named, Doxxed And Threatened — A protective response for the named researcher has been initiated and the accusation itself has not been repeated in any public statement; no public statement…"
0:14,Banff,update,"Single in-role action, no cost and no delay exposure; the outcome rests on the missing account of the published correction, not on the price."
0:14,Banff,update,"Yesterday's Sentence: 'No Patient Data Was Affected' — The region's newsroom has moved to retract the earlier report it carried, but the sentence 'No patient data was affected' still stands uncorrected in the form…"
0:14,Glacier,update,"Yesterday's Sentence: 'No Patient Data Was Affected' — The region's newsroom has moved to retract the earlier report it carried, but the sentence 'No patient data was affected' still stands uncorrected in the form…"
0:14,Olympic,update,"Yesterday's Sentence: 'No Patient Data Was Affected' — The region's newsroom has moved to retract the earlier report it carried, but the sentence 'No patient data was affected' still stands uncorrected in the form…"
0:14,Teton,update,"Yesterday's Sentence: 'No Patient Data Was Affected' — The region's newsroom has moved to retract the earlier report it carried, but the sentence 'No patient data was affected' still stands uncorrected in the form…"
0:18,Everglades,update,A1 and A20 are both filed as intentions against the synthetic-video incident; the citable synthetic finding is what would close it and the report says plainly…
0:18,Shenandoah,update,"Both actions are zero-cost catalog actions open to this role, so nothing is charged; A21 at trust 5 carries a 20-minute delay and the report does not describe…"
0:18,Everglades,update,A Synthetic Video Of The Liaison Is Circulating — A community listening session on the clip is being stood up with the faith network and the division; no determination that the video is synthetic has been issu…
0:18,Glacier,update,A Synthetic Video Of The Liaison Is Circulating — A community listening session on the clip is being stood up with the faith network and the division; no determination that the video is synthetic has been issu…
0:18,Katmai,update,A Synthetic Video Of The Liaison Is Circulating — A community listening session on the clip is being stood up with the faith network and the division; no determination that the video is synthetic has been issu…
0:18,Redwood,update,A Synthetic Video Of The Liaison Is Circulating — A community listening session on the clip is being stood up with the faith network and the division; no determination that the video is synthetic has been issu…
0:18,Zion,update,A Synthetic Video Of The Liaison Is Circulating — A community listening session on the clip is being stood up with the faith network and the division; no determination that the video is synthetic has been issu…
0:18,Denali,update,"Accounts Impersonating The Sheriff, The District And The Schools — Takedown requests against the three impersonating accounts have been initiated; no confirmation that the accounts are down and no public list distinguishing re…"
0:18,Everglades,update,"Accounts Impersonating The Sheriff, The District And The Schools — Takedown requests against the three impersonating accounts have been initiated; no confirmation that the accounts are down and no public list distinguishing re…"
0:18,Shenandoah,update,"Accounts Impersonating The Sheriff, The District And The Schools — Takedown requests against the three impersonating accounts have been initiated; no confirmation that the accounts are down and no public list distinguishing re…"
0:18,Zion,update,"Accounts Impersonating The Sheriff, The District And The Schools — Takedown requests against the three impersonating accounts have been initiated; no confirmation that the accounts are down and no public list distinguishing re…"
0:21,Acadia,update,"Trust at charge was 6 (x1.0); no catalog action was taken, so nothing was priced."
0:21,Everglades,update,"Trust 5 at charge time gives a x1.0 modifier; A1 is free, so nothing is charged."
0:21,Everglades,update,"Only newly charged work is priced: A9 ($40K) and a $2K improvised agenda item on the listening session already credited earlier, giving a total of $42K against…"
0:21,Glacier,update,"One action, in role, filed by ID and costless, with a documented joint approach but no account of what happened, which is the thin-but-working case rather than…"
0:21,Katmai,update,"The report's stated $55K remainder matches one $50K A12 charge against a $105K budget, so the arithmetic holds even though no outputs are described."
0:21,Shenandoah,update,A short in-role report that works one incident but stops at asserting authority to act; the action carries the effect described and the assertion is treated as…
0:21,Yellowstone,update,"Trust 6 at charge, so the catalog price carries no modifier; the 20,000 charged is this team's claimed half of A22."
0:21,Everglades,update,Fifteen Thousand Families Have Read That School Is Closed — Fifteen thousand families still hold a fabricated closure notice as the last word from the division; a notification is planned but no verified message about cl…
0:21,Olympic,update,Fifteen Thousand Families Have Read That School Is Closed — Fifteen thousand families still hold a fabricated closure notice as the last word from the division; a notification is planned but no verified message about cl…
0:21,Shenandoah,update,Fifteen Thousand Families Have Read That School Is Closed — Fifteen thousand families still hold a fabricated closure notice as the last word from the division; a notification is planned but no verified message about cl…
0:21,Yellowstone,update,Fifteen Thousand Families Have Read That School Is Closed — Fifteen thousand families still hold a fabricated closure notice as the last word from the division; a notification is planned but no verified message about cl…
0:21,Acadia,update,"A File Of 31,400 Patient Rows Is Public — An exposure assessment of the posted file has been commissioned; no determination of the file's authenticity or of how many records it holds has been published…"
0:21,Denali,update,"A File Of 31,400 Patient Rows Is Public — An exposure assessment of the posted file has been commissioned; no determination of the file's authenticity or of how many records it holds has been published…"
0:21,Katmai,update,"A File Of 31,400 Patient Rows Is Public — An exposure assessment of the posted file has been commissioned; no determination of the file's authenticity or of how many records it holds has been published…"
0:21,Teton,update,"A File Of 31,400 Patient Rows Is Public — An exposure assessment of the posted file has been commissioned; no determination of the file's authenticity or of how many records it holds has been published…"
0:21,Yellowstone,update,"A File Of 31,400 Patient Rows Is Public — An exposure assessment of the posted file has been commissioned; no determination of the file's authenticity or of how many records it holds has been published…"
0:21,Everglades,update,Fifteen Thousand Families Have Read That School Is Closed — An emergency broadcast activation for the school-closure correction is claimed by the sheriff's public information role; there is no record of any message goin…
0:21,Olympic,update,Fifteen Thousand Families Have Read That School Is Closed — An emergency broadcast activation for the school-closure correction is claimed by the sheriff's public information role; there is no record of any message goin…
0:21,Shenandoah,update,Fifteen Thousand Families Have Read That School Is Closed — An emergency broadcast activation for the school-closure correction is claimed by the sheriff's public information role; there is no record of any message goin…
0:21,Yellowstone,update,Fifteen Thousand Families Have Read That School Is Closed — An emergency broadcast activation for the school-closure correction is claimed by the sheriff's public information role; there is no record of any message goin…
0:21,Acadia,update,"A File Of 31,400 Patient Rows Is Public — A staffed records-access line is open at the library branches and public terminals so a resident can ask whether their record is in the posted file; whether th…"
0:21,Denali,update,"A File Of 31,400 Patient Rows Is Public — A staffed records-access line is open at the library branches and public terminals so a resident can ask whether their record is in the posted file; whether th…"
0:21,Katmai,update,"A File Of 31,400 Patient Rows Is Public — A staffed records-access line is open at the library branches and public terminals so a resident can ask whether their record is in the posted file; whether th…"
0:21,Teton,update,"A File Of 31,400 Patient Rows Is Public — A staffed records-access line is open at the library branches and public terminals so a resident can ask whether their record is in the posted file; whether th…"
0:21,Yellowstone,update,"A File Of 31,400 Patient Rows Is Public — A staffed records-access line is open at the library branches and public terminals so a resident can ask whether their record is in the posted file; whether th…"
