action_id,action_name,available_to,cost,delay_mins,requires_approval,trust_impact,description
A1,Intelligence Sharing,ALL,$0,0,NONE,+1,"Share what you have verified — a confirmed fake, a scam domain, a number that turned out wrong — with every other team. Free, always available, and in a phase about what people believe, the cheapest thing that works."
A2,Breach Notification to Named Patients,Carilion Clinic Privacy Office,$85K,10,NONE,+1,"Write to every patient whose record is in the file that surfaced: what was taken, what it means, what to do today. Legally owed, expensive to do properly, and the only version of this news that does not arrive from a stranger."
A3,Authenticity Determination,CISA Mis- and Disinformation Team;Virginia Tech University Relations,$40K,15,NONE,+1,"Establish whether a circulating video or document is synthetic, and write the finding so a county official can cite it. Fifteen minutes, and nothing else in this phase can be said with confidence until it is done."
A4,Joint Public Correction,Governor's SW Virginia Liaison;VDH Risk Communication,$0,5,Governor's SW Virginia Liaison,+2,"One correction, issued jointly, naming what was said before and what is now known. The correction that admits the earlier error travels further than the one that quietly replaces it."
A5,Platform Escalation and Labelling,Platform Trust and Safety Liaison;CISA Mis- and Disinformation Team,$0,20,NONE,+1,Route a verified fake to the platform's regional queue for labelling or removal. The delay is the point: what spreads in twenty minutes is not undone by a label in twenty.
A6,Trusted Messenger Briefing,Appalachian Faith & Community Network;VDH Risk Communication,$35K,10,NONE,+1,"Brief the congregations, volunteer fire departments and community centres with the verified version, in the words they use, so the correction arrives from someone the household already trusts."
A7,Credit Freeze and Fraud Clinic,VA Attorney General Consumer Protection;County Broadband & Library Network,$60K,15,NONE,+1,"Staffed sessions at the libraries and public terminals: freeze a credit file, check an account, recognise the scam page. For the households whose only internet is the one being used to defraud them."
A8,Newsroom Verification Desk,Regional News Consortium;CISA Mis- and Disinformation Team,$45K,10,NONE,+1,"Stand up a verification desk that checks a claim before the region's newsroom runs it, and publishes what it could not confirm. Slower than the rumor, and the only thing that outlasts it."
A9,School Family Notification,SW Virginia School Division Communications,$40K,5,NONE,+1,"Reach every family in the division with one message on one channel: what is true about the closures, the clinics and the records, and where the next update will come from."
A10,Researcher Protection and Threat Response,SW Virginia Sheriff's Public Information;Virginia Tech University Relations,$55K,10,NONE,+1,"A named researcher is being doxxed and threatened. Protective response, a public statement that does not repeat the accusation, and a route for the next threat that does not go through social media."
A11,Scam Domain Takedown Request,Platform Trust and Safety Liaison;VA Attorney General Consumer Protection,$30K,20,NONE,+1,File the takedown for the fraudulent sites collecting 'breach compensation' details. The request is routine; the twenty minutes it takes is what the fraud is built around.
A12,Public Data Exposure Assessment,Carilion Clinic Privacy Office;CISA Mis- and Disinformation Team,$50K,15,NONE,+1,"Establish what is actually in the posted file — how many records, which fields, whether it is what it claims to be. A breach overstated costs trust; a breach understated costs more."
A13,Library Terminal Safety Push,County Broadband & Library Network,$25K,5,NONE,+1,"Put the verified guidance on every public terminal and in every branch: which sites are fraudulent, what a real notification looks like, who to ask in person."
A14,Emergency Broadcast Activation,Governor's SW Virginia Liaison;SW Virginia Sheriff's Public Information,$0,5,Governor's SW Virginia Liaison or SW Virginia Sheriff's Public Information,+1,"Push one instruction over the alert system to households with no internet. It reaches everyone at once, and it cannot be corrected quietly."
A15,Health Message That Survives Disbelief,VDH Risk Communication;Carilion Clinic Privacy Office,$45K,10,NONE,+1,"Get patients who still need care to keep coming: what is safe, what is not affected, who to ask — written for people who have been told the clinics leak."
A16,Newsroom Retraction and Follow-up,Regional News Consortium,$0,5,NONE,+2,"Retract what the region's newsroom got wrong, on the page that carried it, with the correction above the fold rather than at the end."
A17,University Account of the Attack,Virginia Tech University Relations;Governor's SW Virginia Liaison,$0,10,NONE,+1,"The university's own account of what happened on its network, published under its name. It is the most disbelieved source in the region and the only one that holds the facts."
A18,State Emergency Procurement Release,Governor's SW Virginia Liaison,$50K,5,NONE,+1,Open the state emergency procurement vehicle and underwrite up to $50K of another team's action. The only way a team with the authority and no budget acts this phase.
A19,Consolidated Regional Information Report,Governor's SW Virginia Liaison,$0,5,NONE,+1,"Collect what every team has verified into one regional picture, and file it. One account, with what is still unknown named as unknown."
A20,Community Listening Session,Appalachian Faith & Community Network;SW Virginia School Division Communications,$30K,15,NONE,+1,"Sit in a hall and hear what people actually believe, then answer it. Slow, unscalable, and the only method that finds the rumor nobody in an office has heard yet."
A21,Takedown of Impersonating Accounts,Platform Trust and Safety Liaison;SW Virginia Sheriff's Public Information,$0,20,NONE,+1,"Accounts posing as the health district, the sheriff and the school division are posting instructions. Get them down, and say publicly which accounts are real."
A22,Records Access Line for Patients,Carilion Clinic Privacy Office;County Broadband & Library Network,$40K,10,NONE,+1,"A staffed line where a patient can ask the one question the letter cannot answer: was I in it. Without it, every answer a patient gets comes from the rumor."
