team,role,sector,budget,trust,score
Acadia,Governor's SW Virginia Liaison,State Executive,$19.7M,8,45
Arches,CISA Regional Coordinator,Federal Cyber,$15M,5,0
Banff,SW Virginia Sheriff's Coalition,Law Enforcement,$7.8M,8,30
Bryce,AEP Appalachian Power,Energy/Utilities,$40.1M,4,0
Denali,Virginia Tech Crisis Response,Academic/Research,$7.5M,8,213
Glacier,Carilion Clinic System,Healthcare,$49.15M,9,75
Jasper,SW Virginia EMA,Emergency Mgmt,$9.6M,8,75
Olympic,Shentel Communications,Telecommunications,$15.3M,4,0
Redwood,Food City / Regional Supply Chain,Business/Supply,$25M,7,30
Sequoia,WDBJ7 News,Media,$2.85M,8,45
Shenandoah,VDOT SW Region,Transportation,$14.6M,7,30
Yellowstone,Montgomery County Government,Local Government,$11.625M,7,38
Yoho,VA DEQ SW Regional Office,Environmental,$7.75M,6,80
Yosemite,United Way SW Virginia,Humanitarian NGO,$6M,8,0
Zion,Appalachian Faith & Community Network,Community/Faith,$1.75M,12,75
