team,role,sector,budget,trust,score
Acadia,Governor's SW Virginia Liaison,State Executive,$20M,6,0
Arches,CISA Regional Coordinator,Federal Cyber,$15M,6,0
Banff,SW Virginia Sheriff's Coalition,Law Enforcement,$8M,7,0
Bryce,AEP Appalachian Power,Energy/Utilities,$40M,5,0
Denali,Virginia Tech Crisis Response,Academic/Research,$8M,8,0
Glacier,Carilion Clinic System,Healthcare,$50M,7,0
Jasper,SW Virginia EMA,Emergency Mgmt,$10M,7,0
Olympic,Shentel Communications,Telecommunications,$15M,5,0
Redwood,Food City / Regional Supply Chain,Business/Supply,$25M,5,0
Sequoia,WDBJ7 News,Media,$3M,6,0
Shenandoah,VDOT SW Region,Transportation,$15M,6,0
Yellowstone,Montgomery County Government,Local Government,$12M,6,0
Yoho,VA DEQ SW Regional Office,Environmental,$8M,5,0
Yosemite,United Way SW Virginia,Humanitarian NGO,$6M,8,0
Zion,Appalachian Faith & Community Network,Community/Faith,$2M,9,0
