action_id,action_name,available_to,cost,delay_mins,requires_approval,trust_impact,description
A1,Intelligence Sharing,ALL,$0,0,NONE,+1,"Share verified indicators, affected systems, and status with other teams. Free and always available — in a cyber phase it is also the only way anyone learns what is spreading before it reaches them."
A2,Network Segmentation Cut,Shentel Communications;Virginia Tech Division of IT,$70K,5,NONE,+1,"Sever the shared connection between the university research network and the clinical VLANs, and verify no lateral path remains. Stops the spread; also cuts the research traffic and any clinic still riding that path."
A3,EHR Isolation and Downtime Protocol,Carilion Clinic Information Security;Carilion Rural Clinic Network,$90K,5,NONE,+1,Take the electronic health record offline in the affected facilities and stand the documented downtime protocol up in its place. Care continues on paper; the record stops being a route for the malware.
A4,Medical Device Quarantine,Carilion Clinic Information Security;VA Department of Health SW District,$60K,10,Carilion Clinic Information Security,+1,"Pull infusion pumps, imaging and monitoring off the network onto isolated operation, device by device, with a clinician at each one. Nothing is unplugged from a patient; everything is unplugged from the network."
A5,Paper Downtime Staffing Surge,Carilion Rural Clinic Network,$55K,10,NONE,+1,"Bring in the extra clinical and clerical staff a paper clinic needs — scribes, runners, a second triage line — so six rural sites keep seeing patients at a fraction of normal throughput instead of closing."
A6,Malware Signature Analysis,CISA Regional Coordinator;Virginia Tech Division of IT,$0,15,NONE,+1,"Pull memory and network telemetry from an infected host and characterise what this is: how it evades detection, what it looks for, and whether it is still changing. Nothing else is knowable until this is done."
A7,Forensic Image and Evidence Preservation,FBI Richmond Cyber Task Force;CISA Regional Coordinator,$40K,15,NONE,+1,"Image the compromised hosts before they are rebuilt, with chain of custody intact. A case survives; the systems imaged stay down for the duration, which is time a clinic does not have."
A8,Threat Intelligence Broadcast,CISA Regional Coordinator;VITA Commonwealth CIO,$0,5,NONE,+1,"Push the indicators of compromise to every regional partner and to the state's shared services, so the organisations not yet hit can look for it themselves."
A9,State Shared Services Firewall,VITA Commonwealth CIO,$65K,5,NONE,+1,Cut the region's connections to the Commonwealth's shared services. The state's systems stop being reachable from an infected region — and so do the services the region's county governments run on.
A10,Pharmacy Manual Dispensing Protocol,Food City Pharmacy Systems;VA Department of Health SW District,$35K,5,NONE,+1,"Authorise dispensing against a written protocol and a signed log while prescription verification is down: what may be filled, what may not, and how many days' supply a pharmacist may release without a check."
A11,Prescription Verification Fallback Line,Food City Pharmacy Systems;Carilion Rural Clinic Network,$45K,10,NONE,+1,Stand up a staffed voice line between the pharmacy counters and the clinics so a prescription can be confirmed by a human when the system that would confirm it is offline.
A12,Dependent-Care Patient Outreach,Appalachian Faith & Community Network;VA Department of Health SW District,$30K,10,NONE,+1,"Reach the patients whose care cannot wait for a records system — dialysis, oxygen, refrigerated medication — by phone, by church list, and door to door where there is no signal."
A13,Patient Safety Public Statement,Governor's SW Virginia Liaison;VA Department of Health SW District,$0,0,NONE,+2,"Say plainly what is affected, what care is still safe to seek, and what is not yet known. A joint statement from the state and public health; the number in it has to come from a team that verified it."
A14,Emergency Broadcast Activation,Governor's SW Virginia Liaison;SW Virginia EMA,$0,5,Governor's SW Virginia Liaison or SW Virginia EMA,+1,Push instructions over the emergency alert system to households with no internet and no cell service. It reaches everyone; it also cannot be taken back or corrected quietly.
A15,County Government Continuity Failover,SW Virginia EMA;VITA Commonwealth CIO,$50K,10,NONE,+1,"Move county government functions — permits, benefits, dispatch records — onto the continuity environment so a county does not stop operating while its shared services are cut."
A16,Federal Cyber Emergency Declaration Request,Governor's SW Virginia Liaison;CISA Regional Coordinator,$0,15,Governor's SW Virginia Liaison + CISA Regional Coordinator,+1,"Request a federal cyber emergency declaration and the national response that comes with it. It brings resources the region does not have, and it makes the region's incident a national story."
A17,Research Data Center Shutdown,Virginia Tech Division of IT,$40K,5,NONE,+1,"Take the research data center down cold. The malware loses the host it entered on; ongoing research computation loses whatever was not checkpointed, and the faculty who own it were not asked."
A18,State Emergency Procurement Release,Governor's SW Virginia Liaison,$50K,5,NONE,+1,Open the state emergency procurement vehicle and underwrite up to $50K of another team's action. The only way a team with the authority and no budget acts this phase.
A19,Consolidated Regional Cyber Status Report,Governor's SW Virginia Liaison,$0,5,NONE,+1,"Collect status from every team holding an incident, reconcile it into one regional picture, and file it. Richmond gets one number and one answer instead of twelve."
A20,Clinic Link Restoration on a Clean Path,Shentel Communications;Carilion Rural Clinic Network,$85K,15,NONE,+1,"Rebuild the rural clinic links on a separately routed, freshly keyed path, verified clean before any clinic is reconnected. Records come back; anything still infected comes back with them if the verification was rushed."
A21,Attribution Briefing to Regional Partners,FBI Richmond Cyber Task Force;CISA Regional Coordinator,$0,10,NONE,+1,"Tell the region what is known about who is behind this and what they are after, at the level the investigation can bear. What partners can act on, without what a defence attorney could use."
A22,Trusted Messenger Network Activation,Appalachian Faith & Community Network;SW Virginia EMA,$25K,10,NONE,+1,"Stand up the congregations, volunteer fire departments and community centres as the channel official information travels through, in a phase where the official channels are the ones nobody trusts."
