id,phase,sim_time,incident,description,location,severity,visible_to,time_limit,state,points_resolve
1,1,0:00,Massive Data Exfiltration Detected,"Virginia Tech SOC alerts show 47GB of data transferred to unknown IP addresses overnight from Engineering research servers. Traffic pattern suggests ongoing exfiltration. Affected servers may contain ITAR-controlled defense research. [UPDATE 0:30] Denali isolated the VT network (A1), stopping further exfiltration and shared intelligence with CISA and Shentel (A13). Exfiltration halted, but 47GB of data including potential ITAR-controlled research is already gone. Forensic investigation still needed to determine exactly what was taken.",Blacksburg,5,Virginia Tech Crisis Response;CISA Regional Coordinator,10,partially_resolved,150
2,1,0:00,Regional Telecom Backbone Compromised,"Shentel monitoring detects attack signatures traversing regional fiber backbone. Malware spreading to connected organizations including hospitals and utilities. Source traced to VT network segment. [UPDATE 0:30] Denali's network isolation (A1) severed the VT source of the attack and intelligence was shared with Shentel (A13). However, malware has already propagated to connected organizations. Shentel (Olympic) has not yet taken direct containment action on the wider backbone.",Blacksburg,4,Shentel Communications;Virginia Tech Crisis Response,10,partially_resolved,100
3,1,0:00,Hospital Electronic Records Inaccessible,"Carilion nurses arriving for morning shift cannot access patient records across all facilities. System shows ""connection timeout"" errors. 12 dialysis patients need treatment today but protocols cannot be verified. [UPDATE 0:30] Glacier activated paper-based backup procedures (A3), coordinated transfer of 12 dialysis patients to unaffected facilities (A9), authorized emergency prescription dispensing (A15), and shared intelligence with other teams (A13). Patient safety is maintained through manual workflows, but electronic records remain inaccessible. Root cause - the cyber attack - has not been remediated.",Roanoke,5,Carilion Clinic System;United Way SW Virginia,10,partially_resolved,150
4,1,0:00,Power Grid Control Systems Under Attack,"AEP security logs show 2,400 unauthorized query attempts against SCADA systems. Attack is probing for vulnerabilities in grid control. Operators must decide whether to isolate systems (causing outages) or risk exploitation. [UPDATE 0:30] Jasper (EMA) deployed backup generators to critical facilities (A16) and transferred $100K to AEP to support SCADA isolation. Jasper proposed isolating affected SCADA systems - approved with modification: Jasper can coordinate but AEP must execute the technical isolation. Generators provide backup power, but AEP (Bryce) has not submitted a direct response to the grid attack. The 2,400 probes continue.",Roanoke,5,AEP Appalachian Power;SW Virginia EMA,10,partially_resolved,150
5,1,0:00,Highway Systems Failing Across Region,"I-81 electronic signs showing garbage characters, traffic cameras offline, signal timing systems unresponsive. VDOT and Sheriff receiving reports of confusion at multiple intersections. [UPDATE 0:15] Shenandoah (VDOT) and Banff (Sheriff) collaborated to switch signals to manual mode. Traffic flow restored at key intersections. However, electronic signs still showing garbage, traffic cameras remain offline, and underlying cyber cause not addressed. Deputies directing traffic at critical points. [UPDATE 0:30] Shenandoah formally activated Traffic Management Manual Mode (A17) and coordinated with Banff to station deputies at critical intersections. Traffic flow stabilized but electronic systems remain compromised.",Wytheville,4,VDOT SW Region;SW Virginia Sheriff's Coalition,10,partially_resolved,100
6,1,0:00,911 Emergency System Degraded,"Regional 911 dispatchers report 3-5 second lag between receiving calls and system response. Two callers hung up before connection. Ambulance routing system also showing delays. [UPDATE 0:30] Banff (Sheriff) launched social media campaign via sheriff department accounts alerting residents to 911 delays - approved as feasible community communication. However, the underlying technical issue (network lag and routing delays) remains unaddressed. No technical team has worked on restoring 911 system performance.",Wytheville,4,SW Virginia EMA;SW Virginia Sheriff's Coalition,10,open,100
7,1,0:00,County Government Systems Down,"Montgomery County staff find email down, permit system offline, phone system intermittent. Public calling to complain. County cannot process emergency permits or coordinate with other agencies. [UPDATE 0:30] Yellowstone launched rumor control campaign (A31) to manage public confusion and transferred $300K to Shentel (Olympic) to execute Telecom Emergency Routing (A26). The rumor campaign helps manage public frustration, and if Shentel executes the routing, county communications may partially recover. However, the underlying system compromise is not resolved, and Shentel has not confirmed execution of the routing action.",Blacksburg,3,Montgomery County Government;Governor's SW Virginia Liaison,10,partially_resolved,75
8,1,0:00,Environmental Monitoring Offline,"12 DEQ remote sensors monitoring coal ash ponds and water quality in mining areas stopped transmitting. Cannot verify environmental compliance. Coal ash pond failure would be catastrophic. [UPDATE 0:15] Redwood (Food City) and Yoho (DEQ) coordinating via intelligence sharing. Redwood preparing emergency food distribution contingency. [UPDATE 0:30] Yoho deployed field teams for environmental system checks (A21) and emergency water quality testing (A32). Redwood continues intelligence sharing (A13) and stands ready for emergency food distribution if contamination is found. Manual monitoring now provides partial coverage, but automated sensors remain offline - field teams can only check a fraction of the monitoring points.",Wise,4,VA DEQ SW Regional Office;Food City / Regional Supply Chain,10,partially_resolved,100
9,1,0:00,Media Demands Answers as Rumors Spread,"WDBJ7 received anonymous tip about ""major cyberattack."" Social media rumors claim hospitals are closed. Reporter requesting official comment for morning broadcast. Contradictory information circulating. [UPDATE 0:15] Sequoia (WDBJ7) and Acadia (Governor) issued joint public statement and launched rumor control campaign. Hospital closure rumors addressed - public informed hospitals remain open. [UPDATE 0:30] Acadia and Sequoia followed up with coordinated Public Communication (A4) and active Rumor Control Campaign (A31). The joint government-media effort provides credible, authoritative information. Hospital closure rumors fully countered. Public has clear guidance on what systems are affected.",Roanoke,3,WDBJ7 News;Governor's SW Virginia Liaison,10,resolved,75
10,1,0:00,Vulnerable Residents Flooding Hotlines,"United Way 211 receiving 5x normal call volume. Elderly church members calling pastors panicking about ""hacked medical records."" Faith networks asking for guidance to share with congregations. [UPDATE 0:30] Zion deployed comprehensive community response: Community Welfare Checks (A10) with United Way, Church Network Outreach (A23) to reach isolated residents, Community Information Centers (A36) for in-person guidance, and Intelligence Sharing (A13). Pastors instructed to calm congregations and provide accurate updates. Hotline pressure relieved through alternative information channels. Vulnerable residents being checked on through trusted faith networks.",Roanoke,3,United Way SW Virginia;Appalachian Faith & Community Network,10,resolved,75
