action_id,action_name,available_to,cost,delay_mins,requires_approval,trust_impact,description
A1,Intelligence Sharing,ALL,$0,0,NONE,+1,"Share verified situation updates, emerging risks, and resource status with other teams. Helps coordination and reduces duplicated efforts."
A2,FEMA Preliminary Damage Assessment Filing,FEMA Region III Disaster Recovery Coordinator;Governor's Recovery & Reconstruction Authority,$0,10,NONE,+1,"Submit the formal preliminary damage assessment (PDA) to FEMA establishing that the cyber-cascading crisis meets Stafford Act thresholds. Requires documented damage across multiple categories (health, environmental, infrastructure, economic). This is the gateway to all federal recovery funding."
A3,Federal Disaster Declaration Request,Governor's Recovery & Reconstruction Authority;FEMA Region III Disaster Recovery Coordinator,$0,15,NONE,+1,"Submit a formal request from the Governor to the President for a major disaster declaration. Requires the PDA to be filed first. Unlocks FEMA Public Assistance, Individual Assistance, and Hazard Mitigation Grant Program funding."
A4,Stafford Act Cyber-Cascading Precedent Brief,FEMA Region III Disaster Recovery Coordinator;Virginia Tech Community Resilience Research,$80K,10,NONE,+1,"Commission a rapid legal and policy brief establishing precedent for classifying cyber attacks with cascading physical consequences as qualifying events under the Stafford Act. Strengthens the FEMA application by addressing the novel legal question head-on."
A5,Recovery Resource Allocation Framework,Governor's Recovery & Reconstruction Authority;SW Virginia EMA Long-Term Recovery Committee,$0,10,NONE,+2,"Establish a transparent, criteria-based framework for allocating recovery resources across competing needs. Prevents ad hoc decision-making and builds community confidence that allocation is fair. Requires defining equity criteria and community input mechanism."
A6,Long-Term Recovery Committee Charter,SW Virginia EMA Long-Term Recovery Committee;Montgomery County Recovery & Housing Authority,$0,10,NONE,+2,"Formally charter the Long-Term Recovery Committee with defined membership, authority, meeting cadence, and community representation requirements. Creates the governance structure for multi-year recovery coordination."
A7,Rural Healthcare Sustainability Plan,Carilion Health System Recovery & Legal Affairs;United Way Long-Term Recovery & Case Management,$200K,15,NONE,+2,"Develop a comprehensive rural healthcare delivery model incorporating telehealth, mobile clinics, community health workers, and mutual aid compacts. Designed to prevent future dialysis and medication access crises. Requires community input and workforce planning."
A8,Dialysis Family Accountability & Compensation,Carilion Health System Recovery & Legal Affairs;Governor's Recovery & Reconstruction Authority,$500K,10,NONE,+2/-1,"Establish a formal accountability and compensation process for the families of dialysis patients who died. Includes independent review, transparent findings, and a compensation fund. Expensive and legally sensitive but essential for trust. Risk: poorly executed communication can backfire."
A9,Telehealth Permanence Program,Carilion Health System Recovery & Legal Affairs;Shentel Digital Infrastructure & Connectivity,$150K,10,NONE,+2,"Formalize the emergency telehealth infrastructure from Phase 5 into a permanent rural healthcare delivery program. Includes equipment, bandwidth guarantees, provider training, and patient enrollment. Requires Shentel network commitments and Carilion clinical protocols."
A10,Clinch River Environmental Remediation Plan,VA DEQ Environmental Remediation & Monitoring;AEP Grid Modernization & Energy Transition,$400K,15,Governor's Recovery & Reconstruction Authority,+1,"Develop and submit a comprehensive remediation plan for Clinch River contamination from coal ash seepage. Includes timeline, milestones, monitoring protocols, and community oversight provisions. Must be filed before EPA imposes a federal consent order."
