id,phase,sim_time,incident,description,location,severity,visible_to,time_limit,state,points_resolve
1,6,0:00,FEMA Disaster Qualification — Cyber-Cascading Precedent,"[UPDATE 0:12] Jasper (EMA) deployed A34 Multi-County Impact Assessment ($0), satisfying the EMA assessment clause before the 0:15 deadline. Jasper also proposed a Governor declaration draft cell, but that custom action is not credited here because only the Governor can submit the formal declaration request and no executed Governor filing was documented. The FEMA damage-assessment and Governor declaration clauses are still missing, so the federal-qualification arc is now partially resolved. [ORIGINAL] The FEMA Region III office has opened a 15-minute expedited review window for Southwest Virginia's preliminary damage assessment. The core question: does a cyber attack that cascaded into health crises (3 deaths, 340 dialysis patients disrupted), environmental damage (Clinch River contamination, coal ash seepage), and economic displacement (400 miners, 200 businesses) meet Stafford Act thresholds? No precedent exists for cyber-cascading disasters. FEMA needs three things simultaneously: (1) a completed preliminary damage assessment documenting losses across all categories, (2) the Governor's formal disaster declaration request with a clear argument that state/local capacity is exceeded, and (3) the EMA's multi-county impact assessment demonstrating that the crisis affected governance across jurisdictional boundaries. Without all three, the application defaults to denial. RESPONSE COUNTS AS: FEMA files a completed preliminary damage assessment with documented losses across health, environmental, infrastructure, and economic categories; AND Governor submits a formal disaster declaration request with a written argument that state and local capacity is exceeded; AND EMA submits a multi-county impact assessment documenting cross-jurisdictional governance disruption and coordinated response needs.",Southwest Virginia (Regional),5,"FEMA Region III Disaster Recovery Coordinator;Governor's Recovery & Reconstruction Authority;SW Virginia EMA Long-Term Recovery Committee",15,partially_resolved,200
2,6,0:00,Dialysis Families Demand Accountability — Healthcare Rebuilding Crisis,"[UPDATE 0:09] Banff (Carilion) deployed A8 Dialysis Family Accountability & Compensation ($500K) and A7 Rural Healthcare Sustainability Plan ($200K), materially addressing the institutional accountability and sustainability requirements before the 0:20 deadline. [UPDATE 0:12] Denali (Faith Network) deployed A1 Intelligence Sharing ($0), A17 Individual Recovery Case Management ($120K), A18 Mutual Aid Network Formalization ($80K), A19 Community Recovery Input Sessions ($40K), A28 Community Voice Amplification ($20K), A33 Peer Recovery Navigator Permanence ($100K), and A36 Cross-County Community Engagement Coordination ($40K). Confirmed collaboration: Banff-Denali on the sustainability and community-health response. Yellowstone's case-management role is still unconfirmed in this batch, and the Faith Network did not yet document a full health compact signing with three faith organizations. The dialysis-accountability arc is therefore partially resolved. [ORIGINAL] The families of three dialysis patients who died during Phase 5 have organized. They are holding a press conference at noon demanding: (1) a formal institutional accountability process explaining what failed and why, (2) a compensation framework, and (3) a concrete plan ensuring no rural patient ever faces the same access crisis again. A plaintiff's attorney is advising them. National media (Kaiser Health News, AP) are covering the story. Carilion must lead the healthcare system response — but cannot do it alone. United Way provides the community case management infrastructure to reach all affected families. The Faith Network provides the community trust bridge that institutions alone cannot. Without a credible, coordinated response before the press conference, the families will announce a wrongful death lawsuit that will consume institutional bandwidth for years and destroy the community trust needed for recovery. RESPONSE COUNTS AS: Carilion commits to a formal accountability review with independent oversight and publishes a rural healthcare sustainability plan; AND United Way deploys case managers to all affected families with documented needs assessments and resource connections; AND Faith Network organizes a community health compact signing with at least three faith-based organizations committing to ongoing health navigation and mutual aid.",Wise County / Regional,5,"Carilion Health System Recovery & Legal Affairs;United Way Long-Term Recovery & Case Management;Appalachian Faith & Mutual Aid Network",20,partially_resolved,200
3,6,0:00,Clinch River Contamination — Remediation Before Federal Preemption,"EPA Region III has notified Virginia that if a state-led remediation plan for Clinch River coal ash contamination is not filed within 20 minutes of play, EPA will issue a federal consent order — removing state control of the cleanup, imposing federal timelines and standards, and potentially requiring AEP to fund remediation at 150% of state-estimated costs. The state-led path preserves local control and allows community input on remediation priorities. The federal path is legally cleaner but imposes rigid timelines and excludes community participation in design. DEQ must lead the remediation plan with enforceable milestones. AEP must commit to cost-share and infrastructure access for remediation. Virginia Tech must provide the environmental data and monitoring framework that gives the plan scientific credibility. RESPONSE COUNTS AS: DEQ submits a remediation plan with enforceable milestones and a community oversight provision; AND AEP commits to cost-share funding and infrastructure access for remediation operations; AND VT Research provides a scientific monitoring framework with baseline data and long-term tracking methodology.",Wise County / Clinch River watershed,4,"VA DEQ Environmental Remediation & Monitoring;AEP Grid Modernization & Energy Transition;Virginia Tech Community Resilience Research",20,open,200
4,6,0:00,Economic Displacement — Workforce Crisis in Coal Country,"[UPDATE 0:09] Acadia (Economic Development) deployed A13 Workforce Transition Program ($300K), launching retraining and income-bridge support before the 0:25 deadline. Acadia also reported coordination with the Sheriff's office and Montgomery County, but those partner actions are not yet bilaterally confirmed in this batch. Employer commitments, the community safety plan, and the housing and recovery-services hub are still missing, so the economic-displacement arc is now partially resolved. [ORIGINAL] The economic fallout from the mine halt and extended crisis has reached a tipping point. 400 coal workers have been without income for 11 days. 200 small businesses in Lee, Wise, Dickenson, and Buchanan counties have closed or are at risk of permanent closure. The region's largest employer (the coal operation) cannot restart until the environmental review is complete — and even then, the economic model is uncertain. A regional economic development authority emergency session is scheduled. Without a credible workforce transition and business recovery plan, families will begin leaving permanently — early indicators show 200 families are already exploring relocation. The Sheriff's office is seeing increased domestic disturbance calls and property crime in displaced worker communities. Economic development must lead with a real plan, not promises. The Sheriff's office must address the community safety dimension. Montgomery County must ensure housing and local services are available. RESPONSE COUNTS AS: Economic Development presents a workforce transition plan with specific retraining pathways, income bridge support, and employer commitments; AND Sheriff's office submits a community safety and reintegration plan addressing displacement-related tensions with de-escalation and social service coordination; AND Montgomery County commits housing stabilization resources and establishes a local recovery services hub for displaced families.",Lee/Wise/Dickenson/Buchanan Counties,4,"Appalachian Regional Economic Development;SW Virginia Sheriff's Community Safety & Reintegration;Montgomery County Recovery & Housing Authority",25,partially_resolved,200
5,6,0:00,Critical Infrastructure — Rebuild or Transform Decision Window,"The federal infrastructure comment period for Southwest Virginia's recovery closes in 20 minutes. The region must decide: submit a rebuild-in-kind application (faster, cheaper, restores pre-crisis systems) or a resilience transformation application (slower, more expensive, but eliminates the single-point failures that caused the cascade). The rebuild path restores I-81 corridor systems, the Shentel network, and AEP grid connections to pre-attack specifications. The transformation path redesigns them with redundancy, cyber hardening, and distributed architecture. FEMA's Hazard Mitigation Grant Program will fund transformation — but only if the application demonstrates the vulnerability and proposes specific alternatives. VDOT must lead the infrastructure assessment and proposal. Shentel must commit to the digital infrastructure component. WDBJ7 must provide the public communication that builds community support for whichever path is chosen — rebuild or transform. RESPONSE COUNTS AS: VDOT submits an infrastructure proposal (rebuild or transform) with a vulnerability assessment and cost-benefit analysis; AND Shentel commits to a digital infrastructure plan (rebuild or transform) with documented resilience improvements; AND WDBJ7 produces a public-facing explanation of the infrastructure decision with community input documentation.",Regional (I-81 Corridor / SW Virginia),3,"VDOT Infrastructure Reconstruction & Hardening;Shentel Digital Infrastructure & Connectivity;WDBJ7 Recovery Communications & Accountability",20,open,200
6,6,0:15,FEMA Denies Preliminary Eligibility — Emergency Appeal Window,"FEMA has denied the preliminary damage assessment on grounds that cyber attacks are not covered events under current Stafford Act interpretation. The region has a 48-hour appeal window (30 minutes of play). The appeal requires: (1) a supplemental legal brief establishing cyber-cascading precedent, (2) a Governor's direct appeal to the FEMA Administrator with Congressional support, (3) an EMA submission documenting that the cascading physical consequences — not the cyber attack itself — are the basis for the claim, and (4) Virginia Tech provides expert testimony on the causal chain from cyber to physical damage. Without a successful appeal, the region loses access to approximately $200M in federal recovery funding and must rely on state resources and private philanthropy alone. RESPONSE COUNTS AS: FEMA files a supplemental appeal with legal precedent brief establishing cyber-cascading physical consequences as qualifying damages; AND Governor submits a direct appeal to the FEMA Administrator with documented Congressional support from Virginia's delegation; AND EMA provides supplemental documentation reframing the disaster as cascading physical consequences (deaths, contamination, displacement) rather than a cyber event; AND VT Research provides expert testimony documenting the causal chain from cyber attack to physical harm.",Southwest Virginia (Regional) / Washington DC,5,"FEMA Region III Disaster Recovery Coordinator;Governor's Recovery & Reconstruction Authority;SW Virginia EMA Long-Term Recovery Committee;Virginia Tech Community Resilience Research",30,hidden,150
7,6,0:20,Wrongful Death Lawsuit Filed — National Media Firestorm,"The families have filed a wrongful death lawsuit against Carilion, the Governor's office, and FEMA. National coverage is intensifying — CNN, NYT, and ProPublica are running stories framing the deaths as a failure of rural healthcare. Carilion's board is meeting in emergency session. The lawsuit will consume institutional leadership bandwidth for months and make every recovery decision subject to legal scrutiny. The only path to limiting damage is a credible, immediate public response: Carilion must announce a concrete accountability process, the Governor must commit public funding for the compensation framework, United Way must demonstrate that affected families are receiving comprehensive support, and the Faith Network must publicly affirm community confidence in the recovery path. RESPONSE COUNTS AS: Carilion announces a formal independent review board with published timeline and public reporting; AND Governor commits state emergency funding for a family compensation and support framework; AND United Way provides documented evidence that all affected families have assigned case managers and active resource plans; AND Faith Network issues a public statement co-signed by at least five faith leaders affirming community participation in the accountability process.",Wise County / National,5,"Carilion Health System Recovery & Legal Affairs;Governor's Recovery & Reconstruction Authority;United Way Long-Term Recovery & Case Management;Appalachian Faith & Mutual Aid Network",30,hidden,150
8,6,0:20,EPA Federal Consent Order Issued — State Loses Remediation Control,"EPA has issued a federal consent order for Clinch River remediation. The state has lost control of cleanup design, timeline, and community engagement. AEP faces 150% cost penalties. The federal process will take years and exclude community participation in remediation design. The only path to recovering local influence is to demonstrate that the region has a credible monitoring and community engagement framework that EPA should incorporate. DEQ must submit a community monitoring proposal for EPA consideration. AEP must accept the consent order terms and propose a modified timeline with community oversight. VT must provide independent scientific validation that gives EPA confidence in local capacity. EMA must organize affected communities to submit formal public comments during the consent order review period. RESPONSE COUNTS AS: DEQ submits a community monitoring proposal to EPA with binding enforcement provisions; AND AEP accepts consent order terms and proposes a modified remediation timeline with community oversight provisions; AND VT Research provides independent scientific review validating the community monitoring methodology; AND EMA organizes downstream communities to submit formal public comments and coordinates cross-county input during the consent order period.",Wise County / Clinch River / EPA Region III,4,"VA DEQ Environmental Remediation & Monitoring;AEP Grid Modernization & Energy Transition;Virginia Tech Community Resilience Research;SW Virginia EMA Long-Term Recovery Committee",30,hidden,150
9,6,0:25,Mass Out-Migration Begins — School Enrollment Collapses,"200 families have listed homes for sale in coalfield counties. Lee County schools report 15% enrollment decline in one week. The local tax base is collapsing — county services that were already stretched are now unsustainable. Without an immediate, visible economic commitment, the out-migration becomes self-reinforcing: businesses close because customers leave, services cut because tax revenue drops, more families leave because services are gone. Economic Development must announce employer commitments and training starts. The Sheriff's office must address the rising community distress. Montgomery County must stabilize housing and services. AEP must commit to renewable energy investment creating jobs in the affected communities. RESPONSE COUNTS AS: Economic Development announces at least two confirmed employer partnerships with specific job commitments in coalfield counties; AND Sheriff's office deploys community liaison officers with documented de-escalation and social service referral protocols; AND Montgomery County establishes emergency service preservation funding preventing closure of critical rural services; AND AEP announces a renewable energy investment in coalfield communities with specific job creation commitments.",Lee/Wise/Dickenson/Buchanan Counties,4,"Appalachian Regional Economic Development;SW Virginia Sheriff's Community Safety & Reintegration;Montgomery County Recovery & Housing Authority;AEP Grid Modernization & Energy Transition",35,hidden,150
10,6,0:20,Federal Comment Window Closed — Locked Into Rebuild-in-Kind,"The federal infrastructure comment window has closed without a transformation proposal. The region is locked into rebuild-in-kind funding — restoring pre-crisis systems to their original specifications without resilience improvements. The same single-point failures that caused the cascading crisis will be rebuilt into the new infrastructure. The only remaining option is to use state and local funding to add resilience features on top of the federal rebuild. VDOT must identify the highest-priority hardening additions. Shentel must propose a digital resilience overlay using local funding. WDBJ7 must report on the missed opportunity and build public support for state investment in resilience. EMA must incorporate the infrastructure vulnerability into the updated regional disaster plan. RESPONSE COUNTS AS: VDOT identifies top-3 infrastructure hardening priorities achievable with state funding and submits cost estimates; AND Shentel proposes a digital resilience overlay (mesh network, satellite backup) fundable without federal support; AND WDBJ7 produces accountability reporting on the missed transformation opportunity with clear explanation of consequences; AND EMA publishes an updated regional disaster plan incorporating the known infrastructure vulnerabilities.",Regional (I-81 Corridor / SW Virginia),3,"VDOT Infrastructure Reconstruction & Hardening;Shentel Digital Infrastructure & Connectivity;WDBJ7 Recovery Communications & Accountability;SW Virginia EMA Long-Term Recovery Committee",30,hidden,100
