team,role,sector,budget,trust,score,responsibility
Acadia,SW Virginia EMA,Emergency Mgmt,$70K,6,0,"Run the regional response to a cyber incident nobody can see: continuity for county government, and the call on whether this is an emergency before anyone has proof"
Banff,VITA Commonwealth CIO,State IT,$95K,6,0,"Own the state's own exposure: the shared services the region runs on, and the decision to cut them off from the region to save them"
Denali,Carilion Rural Clinic Network,Healthcare Delivery,$100K,5,45,Six rural clinics with no records link and patients in the waiting room; downtime protocols are yours to call and yours to staff
Everglades,Virginia Tech Division of IT,Academic/Research,$90K,5,30,"Patient zero: the research network the malware entered, the shared connection it crossed on, and the researchers who will not accept an offline data center"
Glacier,FBI Richmond Cyber Task Force,Federal Law Enforcement,$50K,6,0,"Attribution and evidence: what is preserved for a case, and what gets wiped in the hurry to recover"
Katmai,Food City Pharmacy Systems,Business/Supply,$75K,6,0,Prescription verification is down across the chain; what a pharmacist may dispense without it is your policy to set
Olympic,Governor's SW Virginia Liaison,State Executive,$55K,6,0,"Speak for the region: one consolidated answer for Richmond, and the only budget that can underwrite another team's action"
Redwood,Shentel Communications,Telecommunications,$120K,6,0,"The network the spread travels on: segmentation, the clinic links, and whether cutting a segment saves a hospital or strands it"
Shenandoah,VA Department of Health SW District,Public Health,$100K,6,0,"Care continuity across the district: which facilities divert, which stay open, and what the public is told about patient safety"
Teton,Appalachian Faith & Community Network,Community/Faith,$60K,6,0,"Reach the patients the systems cannot: dialysis, oxygen, refrigerated medication, and the households nobody's database still has"
Yellowstone,Carilion Clinic Information Security,Healthcare IT,$115K,6,0,"Contain the intrusion inside a hospital that cannot stop admitting: EHR, the medical devices on the same network, and the isolation calls"
Zion,CISA Regional Coordinator,Federal Cyber,$50K,6,0,"Federal cyber support and the technical truth: what this malware is, how it evades detection, and what the region is allowed to be told"
