id,phase,sim_time,incident,description,location,severity,visible_to,time_limit,state,points_resolve,opens_after,opens_when
1,0,0:05,Regional 911 Center Primary Circuits Down,"A contractor's backhoe severed the primary Shentel fiber trunk under I-81 near Radford at 7:52 AM. The regional 911 center is now routing calls over a single degraded path — dispatchers hear up to three seconds of silence and two callers have already hung up. A protected backup circuit exists, but traffic has not been switched to it. This is a drill, but treat every minute as real: a hung-up 911 call is still a hung-up 911 call.",Radford,4,"Shentel Communications;SW Virginia EMA;SW Virginia Sheriff's Coalition",20,open,100,,
2,0,0:05,Stillwater Medical Center Loses Records Link,"The same fiber cut took Stillwater Medical Center (Radford) offline from telehealth and remote-records access. Nurses are running on paper for six dialysis patients whose treatment protocols cannot be verified online. The clinic can connect to Carilion's system over a temporary link, but nothing has been arranged yet.",Radford,3,"Carilion Clinic System;Shentel Communications;Appalachian Faith & Community Network",20,open,75,,
3,0,0:05,Traffic Signals Dark at I-81/I-77 Interchange,Controller cabinets at the I-81/I-77 interchange in Wytheville are offline — signals dark and backups growing on both approaches. VDOT crews are on scene but do not yet know whether this is a network failure or a power fault; AEP has not confirmed which.,Wytheville,3,"VDOT SW Region;AEP Appalachian Power;SW Virginia Sheriff's Coalition",20,open,75,,
4,0,0:10,'EMP Attack!' Rumor Spreading Online,A local page is claiming the outage is an EMP attack during a regional test. Calls are flooding the sheriff's office and the faith network hotline; some residents are asking whether they should evacuate. No authoritative statement has been issued yet.,Region-wide,2,"Governor's SW Virginia Liaison;Appalachian Faith & Community Network;SW Virginia Sheriff's Coalition",20,open,50,,
5,0,0:05,"VT Alerts Degraded, Cyber Cause Unruled-Out","The severed trunk carried Virginia Tech's secondary path. VT Alerts is failing to confirm delivery to about a third of campus, and a research data center fired an unplanned failover at 7:54 AM. Two minutes' gap between the backhoe strike and the failover is not proof of anything, and a campus IT mailing list is already asking whether this is an intrusion. Until someone rules out a cyber component in writing, every other team's statement is provisional.",Blacksburg,3,"Virginia Tech Crisis Response;CISA Regional Coordinator;Shentel Communications",20,open,75,,
6,0,0:10,"Hydraulic Release at the Excavation, Right-of-Way Held","The backhoe threw a hydraulic line when it struck the conduit. An estimated 12 gallons are pooling in the trench, roughly 40 feet from a storm drain that discharges to a New River tributary. The corridor is shared — AEP distribution runs alongside the fiber — so the right-of-way stays closed to repair crews until the release is contained and the corridor is cleared. The fiber splice cannot start until that happens.",Radford,2,"VA DEQ SW Regional Office;VDOT SW Region;AEP Appalachian Power",20,open,50,,
7,0,0:10,Food City Stores Lose Card Auth and Rx Verification,"Four Food City locations are cash-only — card authorization runs over the same carrier path — and the pharmacy counters cannot verify prescriptions electronically. Two of the Stillwater dialysis patients' families are in one of those lines right now. Nothing is spoiling and no delivery is late; this is an access problem, not a supply problem, and reporting it accurately is the exercise.",Radford / Christiansburg,2,"Food City / Regional Supply Chain;Carilion Clinic System;Shentel Communications",20,open,50,,
8,0,0:15,Richmond Wants One Number Before the 9:00 Availability,"The Secretary of Public Safety needs two things before the Governor's 9:00 press availability: one consolidated regional impact figure, and a written yes or no on whether a cyber component is involved. Neither exists yet. The Governor's office runs no sensors and holds no incident of its own — every number in that statement has to come from the teams working one, and anything said at 9:00 that no team verified becomes tomorrow's correction.",Region-wide,2,"Governor's SW Virginia Liaison;SW Virginia EMA;CISA Regional Coordinator",20,open,50,,
9,0,0:25,911 Backup Verified — Single Reroute Holds the Region,"911 is back on the protected backup circuit and dispatchers confirm end-to-end call routing (A2). The win is narrow: the region now runs 911 over a single path, and the severed trunk is still open at Radford pending the corridor clearance. One more fault on this shared corridor and dispatch goes dark with no fallback. Shentel and SW Virginia EMA own the decision: accept the single reroute and wait out the splice, or stand up backup dispatch (A3, $60K) now as resilience while the trunk is exposed.",Radford,2,"Shentel Communications;SW Virginia EMA;SW Virginia Sheriff's Coalition",15,hidden,50,1,resolved
10,0,0:25,911 Call-Drop Surge — Backup Dispatch or Silence,"Twenty minutes passed with no reroute from Shentel and no backup dispatch from EMA. Dispatchers now report up to five seconds of open silence and a third caller hanging up. Backup dispatch (A3) is the only path that keeps calls from dropping, but it costs $60K against a still-unexplained carrier fault. SW Virginia EMA and the Sheriff's Coalition own the decision: commit to backup dispatch immediately, or hold for the carrier and risk more dropped calls in the window before the splice.",Radford,3,"SW Virginia EMA;SW Virginia Sheriff's Coalition;Shentel Communications",15,hidden,75,1,escalated
