team,role,sector,budget,trust,score
Acadia,Governor's SW Virginia Liaison,State Executive,$6.5M,8,0
Banff,SW Virginia Sheriff's Coalition,Law Enforcement,$4.8M,7,0
Denali,Virginia Tech Crisis Response,Academic/Research,$4.2M,7,0
Everglades,AEP Appalachian Power,Energy/Utilities,$9.0M,6,0
Glacier,Carilion Clinic System,Healthcare,$8.5M,8,0
Katmai,VA DEQ SW Regional Office,Environmental,$4.0M,6,0
Olympic,Shentel Communications,Telecommunications,$6.0M,7,0
Redwood,Food City / Regional Supply Chain,Business/Supply,$5.5M,7,0
Shenandoah,VDOT SW Region,Transportation,$5.0M,7,0
Teton,CISA Regional Coordinator,Federal Cyber,$5.0M,6,0
Yellowstone,SW Virginia EMA,Emergency Mgmt,$5.5M,8,0
Zion,Appalachian Faith & Community Network,Community/Faith,$2.5M,8,0
