team,role,sector,budget,trust,score
Acadia,AEP Power Grid & Environmental Systems,Energy/Utilities,$16.7M,16,88
Arches,Montgomery County Public Health Authority,Local Government,$11.94M,18,133
Banff,WDBJ7 Health & Environmental Coverage,Media,$4.585M,23,213
Bryce,SW Virginia Sheriff's Environmental Crime Unit,Law Enforcement,$39.18M,13,145
Denali,VA DEQ Emergency Environmental Response,Environmental,$6.26M,19,70
Glacier,Shentel Emergency Health Communications,Telecommunications,$47.4M,17,88
Jasper,Virginia Tech Environmental Health Research,Academic/Research,$8.975M,17,88
Olympic,Governor's Health Emergency Coordinator,State Executive,$13.255M,14,145
Redwood,VDOT Medical Transport & Supply Routes,Transportation,$23.355M,26,88
Sequoia,Carilion Health System Crisis Command,Healthcare,$1.75M,16,145
Shenandoah,Public Health Biosecurity Coordinator,Federal Cyber,$12.7M,16,70
Yellowstone,Appalachian Faith Network Community Health,Community/Faith,$9.815M,18,120
Yoho,SW Virginia Mass Casualty Coordination,Emergency Mgmt,$6.47M,18,145
Yosemite,Regional Medical & Food Supply Chain,Business/Supply,$4.17M,19,163
Zion,United Way Health Navigation Services,Humanitarian NGO,$0.18M,24,120
