action_id,action_name,available_to,cost,delay_mins,requires_approval,trust_impact,description
A1,Intelligence Sharing,ALL,$0,0,NONE,+1,"Share verified situation updates, emerging risks, and resource status with other teams. Helps coordination and reduces duplicated efforts."
A2,Emergency Patient Transport Network,Carilion Health System Crisis Command;SW Virginia Mass Casualty Coordination;VDOT Medical Transport & Supply Routes,$150K,10,NONE,+1,"Coordinate ambulance, van, and volunteer transport for dialysis patients and other critical cases across county lines. Establishes routing, scheduling, and priority system for medically fragile residents."
A3,Mobile Dialysis Unit Deployment,Carilion Health System Crisis Command;SW Virginia Mass Casualty Coordination,$300K,15,Governor's Health Emergency Coordinator,+1,"Request and deploy mobile dialysis units to Wise and Buchanan counties. Requires state authorization and coordination with regional hospital networks. Treats patients in place rather than requiring transport."
A4,Hospital Mutual Aid Activation,Carilion Health System Crisis Command;SW Virginia Mass Casualty Coordination,$0,10,NONE,+1,"Activate formal mutual aid agreements to transfer critical patients (dialysis, ICU, respiratory) to Carilion Roanoke Memorial and other regional hospitals with available capacity. Requires bed coordination and transport planning."
A5,Emergency Medical Transport Authorization,SW Virginia Mass Casualty Coordination;Governor's Health Emergency Coordinator,$0,5,NONE,+1,"Issue state authorization for non-emergency medical transport across county lines, enabling broader use of volunteer and community vehicles for medical appointments. Reduces friction for patient access."
A6,Telehealth Emergency Bandwidth Expansion,Shentel Emergency Health Communications;Carilion Health System Crisis Command,$120K,10,NONE,+1,"Reserve and prioritize network bandwidth for telehealth consultations at rural clinics and community health sites. Enables remote dialysis monitoring, MOUD consultations, and respiratory follow-up without in-person transport."
A7,Coal Ash Emergency Stabilization,AEP Power Grid & Environmental Systems;VA DEQ Emergency Environmental Response,$500K,20,Governor's Health Emergency Coordinator,0,"Deploy emergency geotechnical crews to reinforce the eastern berm of the Clinch River coal ash pond before the rainfall event. Expensive and time-sensitive — effective only if initiated before storm arrives. Reduces breach risk significantly."
A8,Coal Ash Containment Assessment,VA DEQ Emergency Environmental Response;Virginia Tech Environmental Health Research,$80K,10,NONE,0,"Commission rapid structural engineering assessment of the coal ash pond berm to determine breach probability, timeline, and recommended containment actions. Informs the stabilization vs. advisory decision."
A9,Precautionary Water Advisory,VA DEQ Emergency Environmental Response;Montgomery County Public Health Authority;WDBJ7 Health & Environmental Coverage,$0,5,NONE,+1/-1,"Issue a precautionary boil-water advisory for communities served by the three affected rural water systems. Legally defensible precaution — but triggers mandatory bottled water distribution and can cause panic if messaging is poor."
A10,Emergency Bottled Water Distribution,SW Virginia Mass Casualty Coordination;Regional Medical & Food Supply Chain,$200K,10,NONE,+1,"Procure and distribute bottled water to communities under a water advisory. Requires logistics coordination, community distribution sites, and prioritization of medically vulnerable households."
A11,Confirmatory Water Contamination Testing,VA DEQ Emergency Environmental Response;Virginia Tech Environmental Health Research,$120K,15,NONE,+1,"Send water samples to state lab for accelerated confirmatory testing on arsenic and lead findings. Results available in 24-48 hours. Required to confirm or retract preliminary results and establish enforcement basis."
A12,Public Health Emergency Declaration,Governor's Health Emergency Coordinator;SW Virginia Mass Casualty Coordination,$0,5,NONE,+1,"Declare a regional public health emergency. Unlocks emergency funding, activates mutual aid agreements, authorizes emergency pharmaceutical dispensing, and triggers FEMA eligibility assessment for public health response costs."
A13,Pharmaceutical Emergency Resupply,Carilion Health System Crisis Command;Governor's Health Emergency Coordinator,$200K,10,NONE,+1,"Coordinate emergency MOUD pharmaceutical resupply from state stockpile and regional distributors. Requires state authorization and cold chain logistics. Addresses root cause of MOUD clinic suspension."
A14,Emergency MOUD Dispensing Protocol,Carilion Health System Crisis Command;SW Virginia Mass Casualty Coordination,$60K,5,NONE,+2,"Activate emergency take-home medication extensions for MOUD patients — 2-week supply instead of daily dispensing. Reduces clinic visit burden while maintaining treatment continuity. Requires DEA emergency authorization."
A15,Overdose Response Strike Team,Carilion Health System Crisis Command;United Way Health Navigation Services;SW Virginia Sheriff's Environmental Crime Unit,$150K,5,NONE,+1,"Deploy a rapid-response team with naloxone, counselors, and peer recovery specialists to high-risk areas. Reduces overdose fatalities during supply crisis and connects patients to emergency medication alternatives."
A16,Community Health Navigator Network,United Way Health Navigation Services;Appalachian Faith Network Community Health,$80K,5,NONE,+2,"Deploy trained lay health workers to opioid recovery communities, dialysis patient households, and rural hollows to assess needs, provide information, and connect residents to emergency services."
A17,MOUD Clinic Emergency Stabilization Fund,United Way Health Navigation Services;Governor's Health Emergency Coordinator,$100K,10,NONE,+2,"Provide emergency bridge funding to MOUD clinics facing supply crisis to maintain operations while pharmaceutical resupply is arranged. Prevents suspension and keeps clinic staff engaged."
A18,Air Quality Monitoring Deployment,VA DEQ Emergency Environmental Response;Virginia Tech Environmental Health Research,$100K,10,NONE,+1,"Deploy rapid-deployment air quality sensors in communities surrounding the coal processing facility and coal ash pond. Provides real-time particulate and chemical data to support respiratory illness investigation and public communication."
A19,Mine Restart Safety Review,VA DEQ Emergency Environmental Response;AEP Power Grid & Environmental Systems,$0,15,Governor's Health Emergency Coordinator,0,"Order a mandatory environmental safety review of the coal processing facility restart — including emissions monitoring protocols, ash pond status, and worker safety certification. Pauses operations until review is complete. Requires Governor's authorization."
A20,Respiratory Cluster Investigation,Virginia Tech Environmental Health Research;VA DEQ Emergency Environmental Response,$120K,15,NONE,+1,"Launch an epidemiological investigation of the Appalachia respiratory cluster, including case interviews, environmental sample collection, and laboratory analysis. Produces a preliminary cause assessment within 48 hours."
A21,CDC Emergency Consultation Request,Public Health Biosecurity Coordinator;Governor's Health Emergency Coordinator,$0,15,NONE,+1,"Submit formal CDC emergency consultation request for the respiratory cluster. CDC provides technical support, additional laboratory capacity, and federal guidance on whether biosecurity escalation criteria are met."
A22,Environmental Justice Community Forum,VA DEQ Emergency Environmental Response;Montgomery County Public Health Authority,$30K,5,NONE,+2,"Host transparent public forums in affected coal communities to explain environmental risks, share what is known and unknown, and receive community input. Reduces conspiracy traction and builds trust for difficult decisions."
A23,Biosecurity Incident Assessment,Public Health Biosecurity Coordinator;Virginia Tech Environmental Health Research,$0,10,NONE,0,"Conduct a formal assessment of the respiratory cluster against biosecurity escalation criteria — including unusual presentation patterns, geographic spread, and cyber attack context. Produces a classified/unclassified summary for decision-makers."
A24,Emergency Environmental Enforcement,VA DEQ Emergency Environmental Response;SW Virginia Sheriff's Environmental Crime Unit,$0,10,Governor's Health Emergency Coordinator,+1/-1,"Issue enforcement orders based on environmental findings — including potential halt of coal operations, mandatory reporting requirements, and fines. Requires Governor authorization. Effective but risks political backlash in coal-dependent communities."
A25,Health Crisis Communications,WDBJ7 Health & Environmental Coverage;SW Virginia Mass Casualty Coordination,$50K,0,NONE,+1,"Stand up a coordinated health communications cadence — regular updates on water advisory status, dialysis transport availability, MOUD clinic status, and respiratory investigation progress. Reduces panic and counters misinformation."
A26,Vulnerable Population Health Outreach,United Way Health Navigation Services;Appalachian Faith Network Community Health,$60K,5,NONE,+2,"Conduct door-to-door and phone outreach to elderly, homebound, and medically fragile residents in hollows and remote areas. Identifies unmet needs and connects individuals to emergency services before conditions become critical."
A27,National Guard Medical Support Request,Governor's Health Emergency Coordinator,$0,20,NONE,+1,"Request National Guard field medical units to supplement Carilion's strained capacity. Provides additional medical personnel, mobile clinics, and logistics support for mass casualty scenarios. Requires federal coordination."
A28,Rural Pharmacy Emergency Supply Depots,Carilion Health System Crisis Command;SW Virginia Mass Casualty Coordination;Regional Medical & Food Supply Chain,$180K,10,NONE,+1,"Stand up emergency pharmacy dispensing at community centers, churches, and schools in underserved areas. Provides temporary access to MOUD medications, insulin, and critical prescription drugs where pharmacies are closed or supply-depleted."
A29,Environmental Health Transparency Update,VA DEQ Emergency Environmental Response;WDBJ7 Health & Environmental Coverage,$20K,5,NONE,+1/-1,"Publish a clear, plain-language environmental health status report: water system status, coal ash assessment status, air quality readings, and respiratory cluster investigation progress. Builds credibility but requires careful framing to avoid panic."
A30,Long-term Environmental Monitoring Compact,VA DEQ Emergency Environmental Response;Virginia Tech Environmental Health Research;AEP Power Grid & Environmental Systems,$0,20,NONE,+2,"Establish a binding multi-party agreement for community-based environmental monitoring — including coal ash pond, water systems, and air quality — with public dashboard reporting. Addresses root cause of monitoring gaps that created Phase 5's hidden damage."
