team,role,sector,budget,trust,score
Acadia,AEP Appalachian Power,Energy/Utilities,$16.7M,16,88
Arches,Montgomery County Government,Local Government,$11.94M,18,133
Banff,WDBJ7 News,Media,$4.585M,23,213
Bryce,SW Virginia Sheriff's Coalition,Law Enforcement,$39.18M,13,145
Denali,VA DEQ SW Regional Office,Environmental,$6.26M,19,70
Glacier,Shentel Communications,Telecommunications,$47.4M,17,88
Jasper,Virginia Tech Crisis Response,Academic/Research,$8.975M,17,88
Olympic,Governor's SW Virginia Liaison,State Executive,$13.255M,14,145
Redwood,VDOT SW Region,Transportation,$23.355M,26,88
Sequoia,Carilion Clinic System,Healthcare,$1.75M,16,145
Shenandoah,CISA Regional Coordinator,Federal Cyber,$12.7M,16,70
Yellowstone,Appalachian Faith & Community Network,Community/Faith,$9.815M,18,120
Yoho,SW Virginia EMA,Emergency Mgmt,$6.47M,18,145
Yosemite,Food City / Regional Supply Chain,Business/Supply,$4.17M,19,163
Zion,United Way SW Virginia,Humanitarian NGO,$0.18M,24,120
