id,phase,sim_time,incident,description,location,severity,visible_to,time_limit,state,points_resolve
1,4,0:00,US-23 Blockade in Wise County,"[UPDATE 0:34] RESOLVED. All 3 required teams responded. Yosemite (Food City) deployed A1+A15+A16 at 0:15. Redwood (VDOT) deployed A1+A7+A9+A11+A12+A23+A38 (now approved by Olympic). Bryce (Sheriff's) deployed A1+A8 De-escalation+A9 Protest Route+A12 Barriers+A36 Use-of-Force Reporting + custom Emergency Convoy Window + Joint Public Statement at 0:33. De-escalation teams on scene, protest route negotiated, barriers separating crowds from convoys, transparent enforcement reporting active, convoy window secured. A38 Emergency Convoy Lane now approved. Response late (escalation inject 6 already occurred at 0:10).",Wise County (US-23),5,"VDOT SW Region;SW Virginia Sheriff's Coalition;Food City / Regional Supply Chain",10,resolved,175
2,4,0:00,Deepfake 'Martial Law' Broadcast,"[UPDATE 0:34] RESOLVED. All 3 required teams responded. Banff (WDBJ7) deployed A13+A17+A19 at 0:16. Glacier (Shentel) deployed A1+A14+A19+A22+A23 at 0:22. Shenandoah (CISA) deployed A19+A20 Disinfo Brief+A23 Civic Systems+A34 Federal War Room at 0:27. Confirmed collabs: Banff-Glacier, Glacier-Shenandoah. Triple takedown coordination active, JIC operational, fact-checks publishing, alerts sent, hotline live, disinformation brief delivered, civic systems hardened. Yellowstone added trusted messenger support. Response late (escalation inject 7 already occurred at 0:10).",Regional,4,"Shentel Communications;CISA Regional Coordinator;WDBJ7 News",10,resolved,175
3,4,0:00,Governance Breakdown — Local Officials Defy State,"[UPDATE 0:34] RESOLVED. All 3 required teams responded. Olympic (Governor's Liaison) deployed A2 Unified Messaging ($80K)+A4 Mediation ($150K)+A35 Civil Liberties Guardrails+A27 Grievance Intake ($120K) at 0:22. Yoho (EMA) deployed A2+A3 Regional Governance Compact+A38 Convoy Authorization at 0:31. Arches (Montgomery County) deployed A1+A3+A39 Advisory Board ($15K)+A35 at 0:27. Confirmed collabs: Olympic-Yoho (A2), Arches-Olympic. Governance compact established, unified messaging operational, mediation teams deployed, grievance intake active, civil liberties guardrails adopted, advisory board created. Response late (escalation inject 8 already occurred at 0:15).",Coalfield Counties,4,"Governor's SW Virginia Liaison;Montgomery County Government;SW Virginia EMA",15,resolved,175
4,4,0:00,Community Violence Spiral — Threats & Harassment,"[UPDATE 0:22] RESOLVED. All 3 required teams responded. Sequoia (Carilion) deployed A18 Expert Forum ($40K), A24 Staff Safety ($80K), A25 Mental Health Teams ($150K), A31 Field Sampling ($180K) at 0:18 — confirmed collaboration with Denali on A18/A31. Zion (United Way) deployed A1+A26 Peacekeepers ($60K)+A27 Grievance Intake ($120K) at 0:17 — comprehensive mediation and de-escalation. Yellowstone (Faith) deployed A26+A28 Trusted Messengers ($10K)+A8 De-escalation ($100K)+A4 Mediation ($150K)+A29 Safe Havens ($40K) at 0:21 — broad community response. Staff safety protocols active, mental health teams deploying, peacekeepers trained, grievance intake operational, trusted messengers active, safe havens open. Response was late (past 0:15 deadline); healthcare worker attack (inject 9) already occurred.",Rural Roads & Distribution Sites,4,"Carilion Clinic System;United Way SW Virginia;Appalachian Faith & Community Network",15,resolved,175
5,4,0:00,Infrastructure Sabotage Threat & Environmental Panic,"[UPDATE 0:22] RESOLVED. All 3 required teams responded. Acadia (AEP) deployed A32+A33 at 0:08 — substations hardened, equity map published. Jasper (VT) deployed A21 at 0:11 — rumor amplification tracked. Denali (DEQ) deployed A1+A18 Expert Forum ($40K)+A30 Environmental Transparency ($20K)+A31 Field Sampling ($180K) at 0:19 — confirmed collaboration with Acadia and Sequoia. Contamination claims now being validated by field sampling, environmental status published, expert Q&A addressing public fears. Sabotage threats hardened against, amplification patterns mapped, and contamination panic being addressed with evidence.",Wise & Tazewell Counties,4,"AEP Appalachian Power;VA DEQ SW Regional Office;Virginia Tech Crisis Response",15,resolved,175
6,4,0:10,Supply Convoy Hijacking,"[UPDATE 1:04] Bryce (Sheriff's) deployed A1+A16 Mobile Distribution with Escorts ($200K)+A36 Transparent Use-of-Force Reporting ($50K) at 1:04. Claimed collab with Yosemite not bilaterally confirmed (Yosemite cited Redwood as collab). Armed group that seized tanker now being confronted; police escorts deployed for supply convoys on back roads. Transparent enforcement reporting active. 2 of 4 required teams: Yosemite (mobile distribution+rationing) and Bryce (police escorts+enforcement). EMA (Yoho) and Governor (Olympic) still not addressing hijacking specifically. [PRIOR: Yosemite deployed A1+A15+A16 at 0:30, collab w/ Redwood for route planning.]",Lee County (Rural Route),5,"SW Virginia Sheriff's Coalition;SW Virginia EMA;Governor's SW Virginia Liaison;Food City / Regional Supply Chain",20,partial,150
7,4,0:10,Panic Arms Run — Accidental Shooting at Store,"[UPDATE 0:58] Yoho (EMA) deployed A13 JIC Stand-Up ($80K)+A14 Emergency Alert ($0)+A29 Safe Havens ($40K) at 0:58. Claimed collabs with WDBJ7 and Sheriff's not bilaterally confirmed. Claimed transfers from Sequoia/Bryce not confirmed — Yoho paying own costs. JIC now operational with EMA lead, emergency alerts sent, safe haven sites open. 2 of 4 required teams now active: Banff (fact-check+rumor tracking), Yoho (JIC+alerts+safe havens). Still absent: Sheriff's (Bryce) for law enforcement response, Carilion (Sequoia) for healthcare-specific response. Late (past 0:25 deadline). [PRIOR: Banff deployed A17+A21 at 0:40.]",Wytheville,5,"SW Virginia Sheriff's Coalition;Carilion Clinic System;WDBJ7 News;SW Virginia EMA",15,partial,150
8,4,0:15,Town Hall Erupts in Violence,"[UPDATE 0:52] Zion (United Way) deployed A4 Mediation ($150K)+A6 Countywide Town Halls & Listening Sessions ($50K) at 0:52. No collaboration claimed. 4 of 5 required teams now active: Arches (protest routes+guardrails+grievance intake), Banff (trusted messengers), Yellowstone (peacekeepers+mental health+de-escalation), Zion (mediation+community forums). Only Sheriff's (Bryce) still absent. Late response (past 0:30 deadline). Viral footage still spreading nationally. [PRIOR: Banff+Yellowstone (bilateral collab) joined at 0:41. Arches deployed at 0:34.]",Christiansburg,4,"Montgomery County Government;SW Virginia Sheriff's Coalition;Appalachian Faith & Community Network;WDBJ7 News;United Way SW Virginia",15,partial,125
9,4,0:15,Healthcare Worker Attacked En Route,"[UPDATE 0:40] Sequoia (Carilion) redeploying A24 Staff Safety Protocol+A25 Mental Health Crisis Teams (both previously deployed, no new cost) specifically to address healthcare worker safety at 0:37 — staff security protocols being applied to rural home health routes. Olympic (Governor's Liaison) deployed A5 Emergency Curfew Order ($0) at 0:40 targeting militia activity in Buchanan County, plus A4 Mediation (already active). 2 of 4 required teams responding. No confirmed collaboration between Sequoia and Olympic. Rural home health services still suspended; 200+ homebound patients at risk. Staff fear not yet resolved — Sheriff's and EMA absence critical. Late responses (past 0:30 deadline). [ORIGINAL: Escalation from Inject 4 unresolved at 0:15]",Buchanan County,5,"Carilion Clinic System;SW Virginia Sheriff's Coalition;Governor's SW Virginia Liaison;SW Virginia EMA",15,partial,150
10,4,0:15,Congressional Hearing Goes National,"The Senate subcommittee hearing on cyber attacks and disaster relief has turned into a partisan spectacle. A senator brandishes a screenshot of the deepfake video as evidence of 'federal failure.' Another calls the local protests 'insurrection lite.' National cable news crews are arriving in Roanoke. Viral clips from the hearing are being stripped of context and recirculated as proof of abandonment or incompetence. Without a coherent evidence-based counter-narrative from regional leaders, the national attention will harden political divisions and complicate the federal aid pathways the region desperately needs.",Washington DC & Roanoke,3,"Governor's SW Virginia Liaison;CISA Regional Coordinator;Virginia Tech Crisis Response;WDBJ7 News",20,hidden,100
