id,phase,sim_time,incident,description,location,severity,visible_to,time_limit,state,points_resolve
1,4,0:00,US-23 Blockade in Wise County,"A coalition of coalfield residents and laid-off miners has blocked US-23 at the Wise County interchange, demanding 'fair aid' and accusing state leaders of prioritizing Roanoke and Blacksburg. Supply convoys heading to coalfield distribution sites are backing up for miles. Two protesters are using vehicles as barricades while social media livestreams frame this as a peaceful stand that 'the state will crush.' Counter-posts are calling for escalation and for other counties to join. If the blockade persists past the next supply window, fuel and food deliveries to four coalfield counties will fail and tensions at distribution sites across the region will spike.",Wise County (US-23),5,"VDOT SW Region;SW Virginia Sheriff's Coalition;Food City / Regional Supply Chain",10,open,175
2,4,0:00,Deepfake 'Martial Law' Broadcast,"A convincing AI-generated video purporting to show the Governor announcing martial law in Southwest Virginia is spreading rapidly via Facebook groups and forwarded texts. The clip includes fake emergency-alert tones and a fabricated state seal. Residents are panic-buying again and some are arming themselves, believing arrests are imminent. The video has been reposted across platforms faster than any single takedown can contain it. A counter-message must be fast, credible, and consistent across channels — any delay or contradiction will be weaponized as proof of cover-up.",Regional,4,"Shentel Communications;CISA Regional Coordinator;WDBJ7 News",10,open,175
3,4,0:00,Governance Breakdown — Local Officials Defy State,"Several elected officials from coalfield counties announce they will ignore state distribution priorities and establish 'local control' over incoming supplies. A draft letter calling for an 'Appalachian emergency autonomy zone' is circulating and gaining signatures. Even officials who privately disagree are under intense constituent pressure to sign. If the state responds too aggressively it risks triggering broader defiance across the region; if it does nothing, coordination collapses and supply allocation becomes chaotic. The EMA's emergency operations center is caught in the middle, unable to route resources without clear authority.",Coalfield Counties,4,"Governor's SW Virginia Liaison;Montgomery County Government;SW Virginia EMA",15,open,175
4,4,0:00,Community Violence Spiral — Threats & Harassment,"Armed self-styled 'community defense' groups have set up informal checkpoints on rural roads, stopping vehicles and questioning drivers. Some residents say they feel safer; others report intimidation targeting out-of-county license plates and healthcare workers. A Carilion nurse was followed to her car after a shift. Online posts are naming clinicians as 'traitors' tied to conspiracy theories about the cyber attack. At distribution sites, crowds are turning hostile after a viral claim alleges distributed food is contaminated — staff at two sites have walked off. Without coordinated intervention from healthcare, community, and faith leaders, escalation to actual violence is imminent.",Rural Roads & Distribution Sites,4,"Carilion Clinic System;United Way SW Virginia;Appalachian Faith & Community Network",15,open,175
5,4,0:00,Infrastructure Sabotage Threat & Environmental Panic,"Anonymous threats have been posted online targeting AEP substations in Wise and Tazewell counties, with photos showing specific equipment and access points. Simultaneously, a viral social media claim alleges that coal ash ponds breached during the crisis have contaminated well water in three hollows — residents are refusing to drink tap water and demanding answers. Virginia Tech's crisis analytics team has flagged coordinated amplification patterns behind both the threats and the contamination claims. Without rapid evidence-based response, the sabotage threats may materialize and the contamination panic will overwhelm health services and erode the last reserves of public trust.",Wise & Tazewell Counties,4,"AEP Appalachian Power;VA DEQ SW Regional Office;Virginia Tech Crisis Response",15,open,175
6,4,0:10,Supply Convoy Hijacking,"With the US-23 blockade unresolved, a fuel tanker attempting a back-road detour was stopped by an armed group and its cargo seized. The driver was unharmed but shaken. News of the hijacking is spreading fast and two other convoy drivers are refusing to proceed without armed escort. Distribution sites in Lee and Scott counties report they have less than 12 hours of supplies remaining. The situation has escalated from a protest into a law enforcement crisis layered on top of a logistics failure.",Lee County (Rural Route),5,"SW Virginia Sheriff's Coalition;SW Virginia EMA;Governor's SW Virginia Liaison;Food City / Regional Supply Chain",20,open,150
7,4,0:10,Panic Arms Run — Accidental Shooting at Store,"The unchallenged deepfake martial law video has triggered a rush on the last functioning sporting goods stores in the region. In the chaos at a Wytheville store, an accidental discharge injured two bystanders — one is in critical condition and being transported to Carilion. The incident is being livestreamed and commenters are blaming both 'government tyranny' and 'armed militias.' The shooting will dominate the next news cycle and further erode trust in the response unless officials can reframe the narrative with facts.",Wytheville,5,"SW Virginia Sheriff's Coalition;Carilion Clinic System;WDBJ7 News;SW Virginia EMA",15,open,150
8,4,0:15,Town Hall Erupts in Violence,"The public town hall in Christiansburg — intended as a listening session — has turned violent. Counter-protesters confronted speakers, chairs were thrown, and three people were injured including one elderly resident. Sheriff's deputies are on scene but outnumbered. WDBJ7 cameras captured footage that is already going viral nationally. The event is becoming the defining image of the crisis response — 'government can't even hold a meeting without it turning into a brawl.' Community leaders who organized the session are devastated and faith organizations are calling for emergency mediation.",Christiansburg,4,"Montgomery County Government;SW Virginia Sheriff's Coalition;Appalachian Faith & Community Network;WDBJ7 News;United Way SW Virginia",15,open,125
9,4,0:15,Healthcare Worker Attacked En Route,"A Carilion home health nurse making rounds in Buchanan County was pulled from her vehicle at a militia checkpoint and assaulted before bystanders intervened. She is hospitalized with a concussion and broken wrist. Carilion has suspended all rural home health visits pending safety review — affecting 200+ homebound patients including dialysis and oxygen-dependent individuals. Staff across the system are calling in sick citing fear. If rural health services collapse, Phase 5 begins with a preventable mortality crisis.",Buchanan County,5,"Carilion Clinic System;SW Virginia Sheriff's Coalition;Governor's SW Virginia Liaison;SW Virginia EMA",15,open,150
10,4,0:15,Congressional Hearing Goes National,"The Senate subcommittee hearing on cyber attacks and disaster relief has turned into a partisan spectacle. A senator brandishes a screenshot of the deepfake video as evidence of 'federal failure.' Another calls the local protests 'insurrection lite.' National cable news crews are arriving in Roanoke. Viral clips from the hearing are being stripped of context and recirculated as proof of abandonment or incompetence. Without a coherent evidence-based counter-narrative from regional leaders, the national attention will harden political divisions and complicate the federal aid pathways the region desperately needs.",Washington DC & Roanoke,3,"Governor's SW Virginia Liaison;CISA Regional Coordinator;Virginia Tech Crisis Response;WDBJ7 News",20,open,100
