team,role,sector,budget,trust,score
Acadia,United Way SW Virginia,Humanitarian NGO,$17.95M,11,0
Arches,AEP Appalachian Power,Energy/Utilities,$15M,10,0
Banff,Montgomery County Government,Local Government,$7.2M,10,0
Bryce,Shentel Communications,Telecommunications,$39.8M,7,0
Denali,SW Virginia Sheriff's Coalition,Law Enforcement,$6.9M,12,0
Glacier,VA DEQ SW Regional Office,Environmental,$48.65M,11,0
Jasper,WDBJ7 News,Media,$9.5M,11,0
Olympic,Virginia Tech Crisis Response,Academic/Research,$14.625M,7,0
Redwood,Governor's SW Virginia Liaison,State Executive,$24.5M,14,0
Sequoia,VDOT SW Region,Transportation,$2.5M,11,0
Shenandoah,Carilion Clinic System,Healthcare,$14.55M,10,0
Yellowstone,CISA Regional Coordinator,Federal Cyber,$11.025M,10,0
Yoho,Appalachian Faith & Community Network,Community/Faith,$7.3M,9,0
Yosemite,SW Virginia EMA,Emergency Mgmt,$5.5M,10,0
Zion,Food City / Regional Supply Chain,Business/Supply,$1.56M,15,0
