action_id,action_name,available_to,cost,delay_mins,requires_approval,trust_impact,description
A1,Emergency Economic Stimulus,Governor's SW Virginia Liaison;Montgomery County Government,$500K,5,NONE,+1,"Release emergency state funds to support businesses and workers affected by the economic collapse. Provides immediate cash flow but limited without restored payment systems."
A2,Federal Disaster Assistance Request,Governor's SW Virginia Liaison;CISA Regional Coordinator,$0,15,NONE,+1,"File formal request to reclassify the cyber attack as qualifying for Stafford Act disaster relief. If successful, unlocks $50M in federal aid. Requires strong economic impact documentation."
A3,Emergency Price Controls,Governor's SW Virginia Liaison;Food City / Regional Supply Chain,$0,5,NONE,+1/-1,"Implement emergency price caps on essential goods (food, fuel, medicine). Prevents gouging but may discourage suppliers from delivering to the region."
A4,Anti-Looting & Security Patrols,SW Virginia Sheriff's Coalition;VDOT SW Region,$200K,0,NONE,0,"Deploy patrols to protect shuttered businesses and emergency distribution sites. Visible presence deters crime but must avoid militarized appearance."
A5,Fuel Convoy Escort,SW Virginia Sheriff's Coalition;VDOT SW Region,$150K,5,NONE,0,"Provide armed escort for fuel delivery convoys from distribution terminals to the region. Ensures fuel reaches gas stations and critical facilities safely."
A6,Emergency Prescription Override,Carilion Clinic System;Governor's SW Virginia Liaison,$300K,5,NONE,+1,"Implement emergency protocols allowing pharmacies to dispense critical medications without electronic verification. Covers dialysis, insulin, cardiac, and opioid recovery medications."
A7,Medical Supply Chain Bypass,Carilion Clinic System;SW Virginia EMA,$500K,10,NONE,0,"Establish alternate supply routes for critical medical supplies bypassing normal distribution. Direct delivery from manufacturers to Carilion facilities."
A8,Community Health Clinic Expansion,Carilion Clinic System;United Way SW Virginia,$400K,10,NONE,+1,"Open temporary health clinics in communities that have lost pharmacy access. Staffed with nurse practitioners who can prescribe and dispense emergency medication supplies."
A9,Priority Power Restoration,AEP Appalachian Power;VDOT SW Region,$1M,10,NONE,+1,"Focus grid repair crews on restoring power to critical economic infrastructure: Food City warehouse, pharmacies, banks, and gas station pumps."
A10,Emergency Rate Relief,AEP Appalachian Power;Governor's SW Virginia Liaison,$200K,5,NONE,+2,"Suspend utility disconnections and waive late fees for all residential and small business customers. Provides immediate financial relief and builds significant public trust."
A11,Generator Distribution,AEP Appalachian Power;SW Virginia EMA,$300K,5,NONE,+1,"Deploy portable generators to critical facilities that cannot wait for grid restoration: dialysis centers, pharmacies, food storage, fuel pumps."
A12,Emergency Resupply Convoy,Food City / Regional Supply Chain;SW Virginia EMA;VDOT SW Region,$500K,10,NONE,+1,"Organize multi-vehicle convoy to bring food, water, and essential supplies from outside the affected region. Requires fuel escort and route planning."
A13,Food Desert Mobile Markets,Food City / Regional Supply Chain;United Way SW Virginia;Appalachian Faith & Community Network,$200K,5,NONE,+2,"Deploy mobile market trucks to rural communities with empty stores. Uses church parking lots and community centers as distribution points. Highly visible community support."
A14,Purchase Limit Enforcement,Food City / Regional Supply Chain;SW Virginia Sheriff's Coalition,$50K,0,NONE,0,"Implement and enforce per-household purchase limits on essential goods to prevent hoarding and ensure equitable distribution."
A15,Small Business Emergency Loans,Montgomery County Government;Governor's SW Virginia Liaison,$1M,10,NONE,+1,"Establish emergency revolving loan fund for small businesses to cover payroll and operating costs during the payment system outage."
A16,Emergency Housing Assistance,Montgomery County Government;United Way SW Virginia,$300K,5,NONE,+1,"Provide emergency rental assistance and prevent evictions for workers who missed payroll. Coordinate with landlords on payment deferrals."
A17,Tax Deferment Program,Montgomery County Government,$0,5,NONE,+1,"Suspend all county tax and utility payment deadlines for 90 days. No penalties for late payment during the crisis period."
A18,Emergency Communication Network,Shentel Communications;CISA Regional Coordinator,$400K,10,NONE,0,"Deploy temporary cell towers and satellite internet terminals to restore basic connectivity for payment processing and emergency communications."
A19,Free Internet & Payment Restoration,Shentel Communications,$200K,5,NONE,+1,"Provide free temporary internet access at community hubs and work with payment processors to restore card transaction capability."
A20,Emergency Supply Distribution,SW Virginia EMA;Food City / Regional Supply Chain,$300K,5,NONE,+1,"Set up centralized distribution sites for food, water, medicine, and fuel at strategic locations across the region."
A21,Emergency Transportation Network,SW Virginia EMA;VDOT SW Region,$250K,5,NONE,+1,"Establish shuttle service connecting isolated communities to distribution sites, medical facilities, and employment centers."
A22,Economic Impact Assessment,Virginia Tech Crisis Response;Governor's SW Virginia Liaison,$100K,10,NONE,0,"Conduct rapid economic impact study documenting losses, job displacement, and infrastructure damage. Critical evidence for federal disaster qualification."
A23,Technical Assistance for Businesses,Virginia Tech Crisis Response;Shentel Communications,$150K,5,NONE,+1,"Deploy student and faculty teams to help businesses set up manual workarounds: paper invoicing, cash management, offline inventory tracking."
A24,Student Volunteer Workforce,Virginia Tech Crisis Response;SW Virginia EMA,$50K,0,NONE,+1,"Organize VT student volunteers for community support: distribution site staffing, delivery assistance, elderly check-ins, data entry for manual systems."
A25,Economic Recovery Campaign,WDBJ7 News;Governor's SW Virginia Liaison,$200K,5,NONE,+1,"Launch media campaign countering 'Southwest Virginia is dying' narrative. Feature recovery stories, open businesses, and community resilience."
A26,Job Board & Resource Guide,WDBJ7 News;Virginia Tech Crisis Response,$100K,5,NONE,+1,"Create and broadcast comprehensive guide to available jobs, emergency assistance programs, food distribution sites, and open businesses."
A27,Coal Ash Emergency Assessment,VA DEQ SW Regional Office;AEP Appalachian Power,$200K,10,NONE,0,"Assess coal ash containment systems at idle mines. Identify imminent failure risks and prioritize emergency stabilization."
A28,Water System Emergency Repair,VA DEQ SW Regional Office;Montgomery County Government,$500K,10,NONE,+1,"Emergency repair of water treatment systems affected by power outages and cyber damage. Ensure safe drinking water supply."
A29,Environmental Compliance Suspension,VA DEQ SW Regional Office;Governor's SW Virginia Liaison,$0,5,NONE,+1/-1,"Temporarily suspend non-critical environmental compliance requirements to reduce costs for struggling businesses. Saves money short-term but creates long-term environmental risk."
A30,Emergency Financial Assistance,United Way SW Virginia;Appalachian Faith & Community Network,$250K,5,NONE,+1,"Distribute emergency cash grants to families in immediate need: rent, food, medicine, fuel. Uses church and community center networks for distribution."
A31,Job Retraining Program,United Way SW Virginia;Virginia Tech Crisis Response,$300K,10,NONE,+1,"Fast-track retraining programs for displaced miners and laid-off workers. Partner with VT continuing education for credentials in healthcare, IT, and trades."
A32,Community Mutual Aid Network,Appalachian Faith & Community Network;United Way SW Virginia,$100K,0,NONE,+2,"Formalize neighbor-helping-neighbor networks for resource sharing: tools, transportation, childcare, food. Leverages existing church community bonds."
A33,Church Feeding Program,Appalachian Faith & Community Network;Food City / Regional Supply Chain,$75K,0,NONE,+2,"Activate church kitchens across the region to provide hot meals. Food City provides supplies at cost. Serves food-insecure families and builds community morale."
A34,Intelligence Sharing,ALL,$0,0,NONE,+1,"Share economic intelligence, supply status updates, resource availability, or situational awareness with other teams. Improves collective response coordination."
A35,Supply Route Optimization,VDOT SW Region;SW Virginia EMA,$150K,5,NONE,0,"Map and clear optimal routes for emergency supply convoys. Identify road damage, fuel stops, and staging areas. Coordinate with fuel escorts."
A36,Financial System Security Audit,CISA Regional Coordinator;Shentel Communications,$300K,10,NONE,0,"Audit banking and payment systems for ongoing cyber compromise before restoring connections. Ensures restored systems won't be immediately re-compromised."
A37,Critical Infrastructure Resilience Grant,CISA Regional Coordinator;AEP Appalachian Power;VA DEQ SW Regional Office,$0,15,NONE,+1,"Apply for federal critical infrastructure resilience grants. Zero cost to apply. If approved, provides funding for hardening power grid, water systems, and communications."
A38,Business Security Detail,SW Virginia Sheriff's Coalition;Montgomery County Government,$100K,5,NONE,0,"Provide security presence at businesses attempting to reopen with cash-only operations. Prevents robbery and builds business confidence to reopen."
A39,Business Spotlight Program,WDBJ7 News;Montgomery County Government,$50K,0,NONE,+1,"Feature open businesses on TV and social media, driving customer traffic and economic activity. Counters despair with visible economic resilience."
